y,x,z,d
4.150510955,1.36,0.0353895,6.875
4.150510955,2.44,0.0440555,7.425
4.150510955,1.695,0.0527215,7.975
4.076693982,-0.035,0.06171945,8.525
4.076693982,-0.185,0.07104935,9.075
4.076693982,0.05,0.08037925,9.625
4.025415693,-0.235,0.0899546,10.175
4.025395328,0.135,0.0997755,10.725
4.025395328,0.12,0.1095965,11.275
3.991066213,-0.83,0.119589,11.825
3.991066213,-0.365,0.129753,12.375
3.991066213,-0.01,0.139917,12.925
3.963794883,0.325,0.1502215,13.475
3.963890627,0.665,0.160666,14.025
3.963794883,-0.22,0.1711105,14.575
3.967920183,-0.975,0.181534,15.125
3.967920183,-0.36,0.191936,15.675
3.967920183,-0.965,0.202338,16.225
3.92926165,-1.01,0.212945,16.775
3.929169164,0.63,0.2237575,17.325
3.92926165,0.775,0.23457,17.875
3.875603415,0.345,0.24568,18.425
3.875603415,-0.08,0.257088,18.975
3.875515761,-0.775,0.2684965,19.525
3.828016137,-0.875,0.280183,20.075
3.827932557,-0.09,0.2921475,20.625
3.828016137,-0.53,0.304112,21.175
3.810040918,-0.815,0.3161845,21.725
3.809958826,-0.5,0.328366,22.275
3.810040918,-0.28,0.3405475,22.825
3.764230156,-0.32,0.353014,23.375
3.764308578,-0.785,0.3657655,23.925
3.764230156,-1.215,0.378517,24.475
3.748976942,-1,0.391367,25.025
3.748899713,-0.295,0.4043155,25.575
3.748899713,0.045,0.4172645,26.125
3.771865884,-0.76,0.4300665,26.675
3.771944908,-0.785,0.442721,27.225
3.771865884,0.15,0.4553755,27.775
3.7578983,-0.21,0.4681195,28.325
3.7578983,-0.68,0.4809525,28.875
3.7578983,-0.19,0.4937855,29.425
3.72826309,-0.97,0.5068115,29.975
3.72826309,-1.605,0.5200305,30.525
3.728187444,-0.605,0.53325,31.075
3.728111804,0.45,0.5464705,31.625
3.728187444,0.98,0.559691,32.175
3.728111804,-0.035,0.5729115,32.725
3.754630832,0.315,0.5859595,33.275
3.754708505,0.265,0.598834,33.825
3.754630832,-0.84,0.6117085,34.375
3.780038263,0.325,0.624422,34.925
3.780038263,1.22,0.636974,35.475
3.779958597,0.625,0.6495265,36.025
3.696398561,-0.345,0.6626265,36.575
3.696398561,-0.785,0.6762735,37.125
3.696398561,-0.62,0.6899205,37.675
3.635355921,-0.56,0.703997,38.225
3.635424861,-0.725,0.7185025,38.775
3.635424861,-1.2,0.7330075,39.325
3.62889675,-1.175,0.74756,39.875
3.62889675,-0.505,0.76216,40.425
3.62889675,-0.13,0.77676,40.975
3.701320156,0.08,0.79085,41.525
3.701393797,0.175,0.8044295,42.075
3.701393797,0.295,0.8180085,42.625
3.764465441,0.75,0.8311725,43.175
3.764387007,1.055,0.843922,43.725
3.764465441,1.335,0.8566715,44.275
3.697571668,0.235,0.8698615,44.825
3.697571668,-0.22,0.8834925,45.375
3.697498308,-0.41,0.897124,45.925
3.628348954,-0.245,0.911244,46.475
3.628280501,-0.055,0.9258525,47.025
3.628280501,-0.85,0.9404615,47.575
3.606344749,-0.61,0.9552325,48.125
3.606411717,-0.65,0.970165,48.675
3.606344749,-0.185,0.9850975,49.225
3.613535882,-0.01,0.999977,49.775
3.613940658,-0.42,1.0148,50.325
3.613940658,-0.695,1.02962,50.875
3.639916145,-0.405,1.04425,51.425
3.640608905,0.565,1.058685,51.975
3.640608905,0.675,1.073115,52.525
3.616643363,-0.195,1.08772,53.075
3.616643363,-0.775,1.1025,53.625
3.616643363,-0.04,1.11728,54.175
3.607215683,0.09,1.13213,54.725
3.607215683,0.505,1.14705,55.275
3.607215683,0.325,1.16197,55.825
3.654565866,-0.62,1.176545,56.375
