y,x,z,d
4.024721489,0,-0.0410658,0.5
4.024721489,0,-0.0231974,1.5
3.994534884,0,-0.005055195,2.5
3.99453597,0,0.013360805,3.5
3.960378514,0,0.03209675,4.5
3.960383762,0,0.0511526,5.5
3.928391237,0,0.07051815,6.5
3.92839632,-0.405,0.0901934,7.5
3.860569724,-0.395,0.110559,8.5
3.860617217,0.19,0.1316145,9.5
3.837982893,-0.295,0.1529105,10.5
3.838029326,-1.395,0.174447,11.5
3.704358641,-1.465,0.197523,12.5
3.704358641,-0.92,0.222139,13.5
3.75139336,-0.485,0.2461895,14.5
3.75135078,-0.35,0.269675,15.5
3.706107,-0.615,0.2937045,16.5
3.706107,-0.26,0.3182775,17.5
3.787198155,0.78,0.3418935,18.5
3.787198155,0.84,0.3645525,19.5
3.710634386,0.265,0.388113,20.5
3.710634386,0.05,0.412575,21.5
3.611177946,-0.58,0.438316,22.5
3.611214957,-1.235,0.4653355,23.5
3.502831516,-1.5,0.493901,24.5
3.502831516,-1.255,0.524013,25.5
3.535540532,-0.75,0.5536405,26.5
3.535574846,-0.31,0.582783,27.5
3.56062697,-0.1,0.6115645,28.5
3.560662156,-0.705,0.639985,29.5
3.42657673,-1.385,0.670444,30.5
3.42657673,-1.195,0.702942,31.5
3.477322772,-0.475,0.734636,32.5
3.477322772,-0.135,0.765526,33.5
3.453522787,-0.475,0.796788,34.5
3.453491176,-0.78,0.8284225,35.5
3.431110347,-0.475,0.8604155,36.5
3.431141258,-0.21,0.892766,37.5
3.426730597,-0.265,0.9251875,38.5
3.426730597,-0.545,0.9576805,39.5
3.394331009,-0.43,0.9907085,40.5
3.394122468,0.11,1.024275,41.5
3.389664146,-0.28,1.05792,42.5
3.38936763,-0.74,1.091645,43.5
3.357850577,-0.46,1.125915,44.5
3.357850577,-0.46,1.160725,45.5
3.292791508,-1.065,1.196705,46.5
3.292791508,-1.56,1.233855,47.5
3.282081901,-1.02,1.271205,48.5
3.282348248,-0.035,1.30875,49.5
3.362168995,0.14,1.34485,50.5
3.361880519,-0.09,1.379515,51.5
3.330086754,-0.08,1.414745,52.5
3.329807386,-0.245,1.45054,53.5
3.263611719,-0.73,1.487565,54.5
3.263350315,-0.98,1.52582,55.5
3.215880316,-1.145,1.56501,56.5
3.215631095,-1.42,1.605135,57.5
3.198583122,-1.195,1.64561,58.5
3.198583122,-0.97,1.68643,59.5
3.191503878,-1.135,1.727395,60.5
3.191260658,-1.225,1.76851,61.5
3.182543896,-1.1,1.80981,62.5
3.182543896,-0.745,1.85129,63.5
3.245990117,-0.19,1.891495,64.5
3.245733279,-0.065,1.93043,65.5
3.220877828,-0.365,1.96986,66.5
3.220877828,-0.415,2.00978,67.5
3.203248569,-0.455,2.050055,68.5
3.203248569,-0.57,2.090685,69.5
3.166046211,-0.78,2.132085,70.5
3.166046211,-0.84,2.174255,71.5
3.196380747,-0.305,2.215795,72.5
3.196380747,0.64,2.256705,73.5
3.222632874,0.09,2.297085,74.5
3.222632874,-1.21,2.336935,75.5
3.11316537,-1.085,2.37909,76.5
3.112940474,-0.68,2.423555,77.5
3.180617113,-0.165,2.46657,78.5
3.180617113,0.015,2.50813,79.5
3.119483081,-0.815,2.551,80.5
3.119709453,-0.765,2.595175,81.5
3.169609584,-0.095,2.63827,82.5
3.16937163,-0.605,2.680295,83.5
3.039475197,-1.58,2.72524,84.5
3.039266276,-1.29,2.773105,85.5
3.161314714,-0.015,2.818225,86.5
3.161314714,0.1,2.860595,87.5
3.083907964,-0.86,2.90467,88.5
